T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.6625598904859685,6330.0,179.95,923.82,743.87,781.68,601.73,0.0,0.08372968011052381
0.6625598904859685,6665.0,247.65,664.39,416.74,492.57,244.92,0.0,0.08689994756788885
0.6625598904859685,6670.0,248.9,660.71,411.81,486.84,237.94,0.0,0.08563064912210427
0.6625598904859685,6695.0,254.85,642.39,387.54,467.28,212.43,0.0,0.08575247405894873
0.6625598904859685,6720.0,260.70000000000005,624.23,363.53,451.35,190.65,0.0,0.08798409766581429
0.6625598904859685,6745.0,267.0,606.23,339.23,429.7,162.7,0.0,0.08624564057500518
0.6625598904859685,7020.0,421.15,420.96,-0.19,249.18,-171.97,0.16448869198901145,0.08629403507254789
0.6625598904859685,7045.0,405.5,405.43,-0.07,236.74,-168.76,0.16305076359177215,0.08683950335050396
0.6625598904859685,7160.0,337.05,337.3,0.25,179.99,-157.06,0.15663963482303667,0.0867186125048827
0.6625598904859685,7165.0,334.2,334.47,0.27,177.58,-156.62,0.15636345497157755,0.0866394404270783
0.6625598904859685,7245.0,290.75,290.75,0.0,144.9,-145.85,0.15225941812730942,0.0868007369615216
0.6625598904859685,7305.0,260.29999999999995,260.03,-0.27,123.37,-136.93,0.14931255968472287,0.08688725839852714
1.374401095140315,4250.0,89.25,2907.35,2818.1,2868.13,2778.88,0.0,0.0
1.374401095140315,4750.0,93.69999999999999,2462.02,2368.32,2394.51,2300.81,0.0,0.0
1.374401095140315,6075.0,254.3,1354.39,1100.09,1160.88,906.58,0.0,0.08342768891724249
1.374401095140315,6125.0,263.04999999999995,1315.72,1052.67,1117.47,854.42,0.0,0.08645067443514659
1.374401095140315,7225.0,567.1,567.09,-0.01,311.76,-255.34,0.1662044240376784,0.08578852061601795
1.8754277891854894,9550.0,48.25,48.26,0.01,4.55,-43.7,0.1294391143501147,0.08403194541172075
