Type,T,K,Mkt,Ana,Err_A,IV_Mkt
PUT,0.6625598904859685,6330.0,179.95,187.27,7.32,0.22164034686764655
PUT,0.6625598904859685,6665.0,247.65,243.37,-4.28,0.2008437429256662
PUT,0.6625598904859685,6670.0,248.9,244.35,-4.55,0.2005653118983628
PUT,0.6625598904859685,6695.0,254.85,249.34,-5.51,0.19897873624105178
PUT,0.6625598904859685,6720.0,260.70000000000005,254.46,-6.24,0.1972702987893586
PUT,0.6625598904859685,6745.0,267.0,259.72,-7.28,0.19570947846419268
CALL,0.6625598904859685,7020.0,421.15,433.05,11.9,0.16448869198901148
CALL,0.6625598904859685,7045.0,405.5,416.24,10.74,0.16305076359177256
CALL,0.6625598904859685,7160.0,337.05,342.23,5.18,0.15663963482303664
CALL,0.6625598904859685,7165.0,334.2,339.15,4.95,0.15636345497157758
CALL,0.6625598904859685,7245.0,290.75,291.61,0.86,0.15225941812730953
CALL,0.6625598904859685,7305.0,260.29999999999995,258.33,-1.97,0.14931255968472354
PUT,1.374401095140315,4250.0,89.25,77.24,-12.01,0.34669096649419523
PUT,1.374401095140315,4750.0,93.69999999999999,108.05,14.35,0.29201798054525396
PUT,1.374401095140315,6075.0,254.3,245.46,-8.84,0.23308211805145315
PUT,1.374401095140315,6125.0,263.04999999999995,252.99,-10.06,0.23080037814751947
CALL,1.374401095140315,7225.0,567.1,573.68,6.58,0.1662044240376797
CALL,1.8754277891854894,9550.0,48.25,48.22,-0.03,0.12943911435022
