T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.216290212183436,140.0,52.275,52.07,-0.21,52.3,0.02,0.501643498570228,0.5034760730339904
0.216290212183436,150.0,43.375,43.19,-0.18,43.28,-0.1,0.47789682916495063,0.4720083367023568
0.216290212183436,170.0,27.7,27.31,-0.39,27.41,-0.29,0.45109921366519523,0.440834496928438
0.216290212183436,190.0,15.399999999999999,15.12,-0.28,15.19,-0.21,0.4234979877851189,0.4174397321858195
0.216290212183436,210.0,7.525,7.37,-0.16,7.32,-0.21,0.4090260630219297,0.40255157930826696
0.216290212183436,230.0,3.3,3.3,0.0,3.3,0.0,0.40217889365556475,0.4023657744574421
0.216290212183436,250.0,1.42,1.44,0.02,1.4,-0.02,0.40545783815807385,0.404385130449285
0.216290212183436,260.0,0.94,0.95,0.01,0.95,0.01,0.4093603868447219,0.40981678343269934
0.216290212183436,270.0,0.63,0.63,0.0,0.65,0.02,0.4143025941239844,0.416699470878912
0.2929500342231348,140.0,53.525,53.47,-0.05,53.62,0.09,0.4846927736825731,0.4900732239929146
0.2929500342231348,150.0,45.175,44.98,-0.2,45.31,0.14,0.47553730660375626,0.48154320602328793
0.2929500342231348,170.0,29.875,29.88,0.0,30.08,0.21,0.4415696047786846,0.44771919129008975
0.2929500342231348,190.0,18.05,18.12,0.07,18.45,0.4,0.42186061069927616,0.4317331458794534
0.2929500342231348,210.0,10.05,10.1,0.05,10.19,0.14,0.4116322139379873,0.4151417199418888
0.2929500342231348,230.0,5.275,5.32,0.04,5.11,-0.16,0.40789453598946457,0.4027546335090275
0.2929500342231348,250.0,2.685,2.73,0.05,2.74,0.06,0.40858719876548005,0.4112019191063755
0.2929500342231348,260.0,1.92,1.96,0.04,1.96,0.04,0.4106910844228643,0.41269450844790134
0.2929500342231348,270.0,1.385,1.41,0.02,1.36,-0.03,0.41392680462833337,0.4121710846685807
0.4654346338124572,140.0,56.75,56.68,-0.07,56.88,0.13,0.48174513720809287,0.486541963819256
0.4654346338124572,150.0,48.9,48.85,-0.05,49.04,0.14,0.4697561472344172,0.4740077515440061
0.4654346338124572,170.0,34.900000000000006,34.99,0.09,35.27,0.37,0.4480577040596244,0.4564668818092258
0.4654346338124572,190.0,23.8,23.9,0.1,24.13,0.33,0.43483814440595514,0.4413704881760539
0.4654346338124572,210.0,15.55,15.67,0.12,15.83,0.28,0.425703384528997,0.431101296241836
0.4654346338124572,230.0,9.899999999999999,9.96,0.06,9.89,-0.01,0.4215929676885133,0.42127188197914645
0.4654346338124572,250.0,6.225,6.23,0.01,6.23,0.0,0.4209315919416984,0.42103498820253626
0.4654346338124572,260.0,4.925000000000001,4.92,-0.01,4.88,-0.05,0.42134776590321066,0.41994717414735877
0.4654346338124572,270.0,3.9000000000000004,3.88,-0.02,3.84,-0.06,0.42226858785526444,0.4203394671936633
0.5612594113620808,140.0,58.35,58.41,0.06,58.52,0.17,0.4764768874916155,0.4818506068431429
0.5612594113620808,150.0,50.8,50.88,0.08,51.28,0.48,0.46718737766885454,0.48006587477713947
0.5612594113620808,170.0,37.25,37.53,0.28,37.78,0.53,0.44798935088453046,0.4589755963014385
0.5612594113620808,190.0,26.35,26.72,0.37,27.0,0.65,0.4354666515293924,0.4472062346728534
0.5612594113620808,210.0,18.15,18.46,0.31,18.6,0.45,0.4286060234084708,0.43651584172385943
0.5612594113620808,230.0,12.274999999999999,12.47,0.2,12.4,0.13,0.4252894925101306,0.42770381006404534
0.5612594113620808,250.0,8.225,8.31,0.09,8.39,0.17,0.4244731251886529,0.4280549766066873
0.5612594113620808,260.0,6.75,6.77,0.02,6.89,0.14,0.4253249410322877,0.4285675377443407
0.5612594113620808,270.0,5.525,5.52,-0.01,5.7,0.18,0.4259903630168773,0.4306123658308545
0.6379192334017796,140.0,59.675,59.77,0.1,59.78,0.1,0.4756412551624076,0.47860899566669596
0.6379192334017796,150.0,52.375,52.44,0.06,52.68,0.31,0.46856990275235744,0.47607858385901536
0.6379192334017796,170.0,39.375,39.44,0.06,39.62,0.24,0.4550005241984596,0.4597127574978173
0.6379192334017796,190.0,28.725,28.82,0.1,29.09,0.36,0.44400373773511537,0.4501610092439315
0.6379192334017796,210.0,20.5,20.56,0.06,20.79,0.29,0.437035284649312,0.4418031306278845
0.6379192334017796,230.0,14.475000000000001,14.41,-0.06,14.5,0.03,0.43415186763659985,0.4346209517192771
0.6379192334017796,250.0,10.125,9.99,-0.13,10.16,0.04,0.43273672172035216,0.43348441149614597
0.6379192334017796,260.0,8.475,8.3,-0.17,8.33,-0.14,0.4329457305567182,0.42998210401046716
0.6379192334017796,270.0,7.1,6.89,-0.21,7.07,-0.03,0.4335234678375588,0.43282837943503416
0.8870636550308009,142.0,62.8,62.55,-0.25,62.81,0.01,0.4826664637122698,0.4829450600141443
0.8870636550308009,152.0,55.775,55.85,0.07,55.91,0.14,0.4697152058713199,0.4723928045590279
0.8870636550308009,170.0,44.9,45.04,0.14,45.82,0.92,0.4596097310112302,0.4747408092851053
0.8870636550308009,189.0,35.275000000000006,35.41,0.13,35.7,0.42,0.4522501876522447,0.4584528165503652
0.8870636550308009,210.0,26.625,26.78,0.15,27.09,0.46,0.44549100047332035,0.45198071994270894
0.8870636550308009,227.0,21.075,21.2,0.12,21.59,0.52,0.4419501841341651,0.4492700514001763
0.8870636550308009,245.0,16.475,16.47,-0.01,16.63,0.15,0.44067061029531324,0.4429300410776991
0.8870636550308009,255.0,14.325,14.29,-0.03,14.38,0.06,0.43973851895076094,0.44063510050862464
0.8870636550308009,275.0,10.925,10.75,-0.17,10.89,-0.04,0.4402557639127056,0.4396091294620705
1.3826146475017111,140.0,71.55000000000001,71.34,-0.21,71.63,0.08,0.4827289399326603,0.48416387173342706
1.3826146475017111,150.0,65.45,65.27,-0.18,65.82,0.37,0.4779098707867222,0.4836094797965794
1.3826146475017111,170.0,54.35,54.36,0.01,54.88,0.53,0.4681237868040873,0.47515730890981595
