T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.29021218343600275,5400.0,1626.15,1634.96,8.81,1632.61,6.46,0.0,0.24315501834578038
0.29021218343600275,5625.0,1412.3000000000002,1418.59,6.29,1419.78,7.48,0.21946899199255013,0.2474628752214644
0.29021218343600275,6325.0,772.0999999999999,774.32,2.22,771.88,-0.22,0.20006812606915322,0.1998148916486754
0.29021218343600275,6925.0,316.55,306.16,-10.39,304.45,-12.1,0.16963691486409666,0.16130390269040926
0.29021218343600275,7725.0,16.6,18.57,1.97,18.16,1.56,0.12010545876377578,0.12276348181579208
0.46269678302532513,5900.0,1215.05,1217.17,2.12,1215.45,0.4,0.22012955750862095,0.22062461525693788
0.46269678302532513,6300.0,904.2,868.28,-35.92,866.94,-37.26,0.22861214876281494,0.19935938820449087
0.46269678302532513,6925.0,411.25,391.3,-19.95,384.9,-26.35,0.17434907692183219,0.15987179658746328
0.46269678302532513,7600.0,79.3,76.67,-2.63,75.35,-3.95,0.13078402515311652,0.12801221579399266
0.5585215605749486,5800.0,1187.35,1337.66,150.31,1334.6,147.25,0.0,0.22205938668782274
0.5585215605749486,6225.0,1008.2,968.11,-40.09,966.91,-41.29,0.23218646965125944,0.20215278947302592
0.5585215605749486,6900.0,477.25,450.96,-26.29,450.99,-26.26,0.17901697529887278,0.16573316831082222
0.5585215605749486,7350.0,207.35000000000002,196.43,-10.92,195.98,-11.37,0.14729905921830735,0.14162549739762864
0.5585215605749486,8500.0,7.25,7.54,0.29,7.65,0.4,0.12384605994072441,0.12494755975995402
0.7118412046543463,6700.0,693.2,654.69,-38.51,653.05,-40.15,0.19600687566508374,0.17655956982112186
0.7118412046543463,6900.0,549.0999999999999,515.72,-33.38,514.51,-34.59,0.18236987423244852,0.16677149282701478
0.7118412046543463,8600.0,12.95,12.51,-0.44,11.63,-1.32,0.12510095899587156,0.12262915502777573
0.7118412046543463,9200.0,2.9000000000000004,3.0,0.1,2.74,-0.16,0.1285733508514305,0.1276346403243152
0.7118412046543463,9600.0,1.25,1.23,-0.02,1.32,0.07,0.13346235310846286,0.1342857346911295
0.919917864476386,7000.0,568.7,533.43,-35.27,529.05,-39.65,0.17912836462233517,0.16363515544163143
0.919917864476386,7680.0,206.65,192.78,-13.87,192.36,-14.29,0.1447160502904876,0.13884667488890728
0.919917864476386,8400.0,46.75,42.5,-4.25,42.59,-4.16,0.12874946920786884,0.12550235920476865
1.379876796714579,6400.0,1155.8,1106.55,-49.25,1107.71,-48.09,0.2115714647871983,0.19274230622734856
1.379876796714579,7225.0,567.1,566.13,-0.97,564.28,-2.82,0.16402308314625838,0.16313636425145736
1.379876796714579,7600.0,397.35,375.6,-21.75,376.23,-21.12,0.1588349152444124,0.15223076834906255
1.379876796714579,8400.0,124.35,119.39,-4.96,120.46,-3.89,0.1355873363760538,0.13393010348752207
1.379876796714579,8600.0,89.2,85.63,-3.57,87.73,-1.47,0.13250121414541316,0.1317711781351361
1.8809034907597535,5450.0,1854.5500000000002,1971.14,116.59,1973.87,119.32,0.14202531213016162,0.22445690676486615
1.8809034907597535,5550.0,1888.15,1891.39,3.24,1886.2,-1.95,0.21817487491246887,0.217184882764283
1.8809034907597535,6700.0,1099.2,1049.61,-49.59,1049.13,-50.07,0.20007420154261976,0.18467621757068248
1.8809034907597535,7200.0,782.8,743.35,-39.45,739.27,-43.53,0.1817477141357051,0.16971964286004024
1.8809034907597535,7550.0,586.55,558.61,-27.94,556.35,-30.2,0.16919062541127772,0.16110523015936287
1.8809034907597535,8600.0,183.0,182.15,-0.85,185.5,2.5,0.13999546537970742,0.14082564666725614
1.8809034907597535,9400.0,62.25,62.32,0.07,61.53,-0.72,0.13090769672173966,0.1305067383921562
1.8809034907597535,10200.0,23.15,20.53,-2.62,21.05,-2.1,0.13136060525880516,0.1290668204370772
2.8774811772758384,5300.0,2352.7,2282.88,-69.82,2275.83,-76.87,0.2512299894876166,0.21921722759496642
2.8774811772758384,5600.0,2133.3,2061.27,-72.03,2054.59,-78.71,0.24128474138720865,0.2123516943569123
2.8774811772758384,7300.0,1027.0,974.14,-52.86,975.92,-51.08,0.18967296168092093,0.17790215437590728
2.8774811772758384,7800.0,758.4,726.45,-31.95,728.26,-30.14,0.17503273764605226,0.16841220316811564
2.8774811772758384,8800.0,350.9,354.89,3.99,355.12,4.22,0.1508329615704854,0.1518285103698929
2.8774811772758384,9200.0,242.60000000000002,253.39,10.79,253.9,11.3,0.14369655947916127,0.14665555614447387
2.8774811772758384,9550.0,171.85000000000002,184.71,12.86,188.99,17.14,0.13877136015407918,0.14385361686737702
3.893223819301848,5300.0,2564.0,2454.38,-109.62,2451.69,-112.31,0.2576970010434242,0.2184354043111302
3.893223819301848,5600.0,2278.8999999999996,2248.34,-30.56,2248.68,-30.22,0.22335689960173416,0.21356256761239953
3.893223819301848,6400.0,1843.5,1733.72,-109.78,1740.03,-103.47,0.22588660866720825,0.20019304439707944
3.893223819301848,8600.0,678.2,658.12,-20.08,660.2,-18.0,0.16893687364892712,0.16550974156242212
3.893223819301848,9600.0,298.65,363.69,65.04,365.28,66.63,0.13961762715085446,0.15396466432742859
4.889801505817933,5200.0,2642.37,2670.0,27.63,2657.65,15.28,0.2096721977850412,0.2151519578548282
4.889801505817933,5675.0,2418.2,2363.98,-54.22,2357.45,-60.75,0.22702538897482785,0.20960477265522137
4.889801505817933,6200.0,2086.05,2044.17,-41.88,2049.7,-36.35,0.2135777752658324,0.20466007027540215
4.889801505817933,7300.0,1529.76,1446.08,-83.68,1442.75,-87.01,0.2040578836801503,0.18718464423582915
4.889801505817933,7800.0,1236.95,1210.11,-26.84,1215.12,-21.83,0.18639033403449934,0.1824275408381072
4.889801505817933,8200.0,998.8499999999999,1038.66,39.81,1044.85,46.0,0.16980013572947045,0.1778533683716067
4.889801505817933,9200.0,703.5999999999999,679.49,-24.11,687.93,-15.67,0.17021644960726723,0.1675143438283416
4.889801505817933,9500.0,603.65,591.01,-12.64,593.82,-9.83,0.1653845634707968,0.16366210886435795
4.889801505817933,10200.0,367.85,417.57,49.72,423.37,55.52,0.14752554208253224,0.15811767058681392
