Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used
PUT,0.5530458590006845,5375.0,59.8,58.4,-1.4,55.93,-3.87,0.28279292573507775,0.0362
PUT,0.5530458590006845,5625.0,76.5,77.45,0.95,75.8,-0.7,0.26421450339027613,0.0362
PUT,0.5530458590006845,5775.0,88.6,91.38,2.78,90.47,1.87,0.25303172188648565,0.0362
CALL,0.5530458590006845,7900.0,36.5,37.71,1.21,40.28,3.78,0.12667241567468823,0.0362
CALL,0.5530458590006845,8200.0,13.9,14.5,0.6,14.29,0.39,0.12400201727925969,0.0362
CALL,0.5530458590006845,8300.0,10.0,10.64,0.64,10.11,0.11,0.12371866596195888,0.0362
CALL,0.5530458590006845,8400.0,7.3,7.86,0.56,7.18,-0.12,0.1239874266888812,0.0362
CALL,0.5530458590006845,8500.0,5.5,5.84,0.34,5.12,-0.38,0.12500060539957142,0.0362
CALL,0.5530458590006845,8600.0,4.1,4.37,0.27,3.66,-0.44,0.12584465324314825,0.0362
PUT,0.6297056810403833,5225.0,60.9,58.44,-2.46,55.7,-5.2,0.2891069545203504,0.036
PUT,0.6297056810403833,5300.0,65.2,63.43,-1.77,60.83,-4.37,0.2835816983475134,0.036
PUT,0.6297056810403833,5375.0,70.0,68.78,-1.22,66.36,-3.64,0.2783027436999104,0.036
PUT,0.6297056810403833,5400.0,71.1,70.66,-0.44,68.3,-2.8,0.2759118668407954,0.036
CALL,0.6297056810403833,7950.0,43.8,44.64,0.84,46.79,2.99,0.12850813717462853,0.036
CALL,0.6297056810403833,8100.0,28.0,28.53,0.53,29.05,1.05,0.12623622219708558,0.036
CALL,0.6297056810403833,8300.0,15.5,15.8,0.3,15.21,-0.29,0.12503083199590162,0.036
CALL,0.6297056810403833,8500.0,8.6,8.91,0.31,8.01,-0.59,0.12495181319769494,0.036
CALL,0.6297056810403833,8600.0,6.5,6.75,0.25,5.84,-0.66,0.1254429114296127,0.036
PUT,0.6625598904859685,6500.0,213.8,224.82,11.02,229.25,15.45,0.2013645350139332,0.0359
CALL,0.6625598904859685,7200.0,297.9,304.3,6.4,313.66,15.76,0.16113876718390488,0.0359
CALL,0.6625598904859685,8000.0,43.1,43.83,0.73,45.42,2.32,0.12862163416975822,0.0359
CALL,0.6625598904859685,8200.0,24.5,24.54,0.04,24.39,-0.11,0.1264404389859917,0.0359
CALL,0.6625598904859685,8300.0,18.3,18.41,0.11,17.8,-0.5,0.12570159675824186,0.0359
CALL,0.6625598904859685,8400.0,13.8,13.87,0.07,13.0,-0.8,0.12550675762173172,0.0359
CALL,0.6625598904859685,8600.0,8.0,7.98,-0.02,6.99,-1.01,0.12606372087257967,0.0359
PUT,0.7063655030800822,5250.0,71.7,69.38,-2.32,66.68,-5.02,0.2832207544457209,0.0358
PUT,0.7063655030800822,5300.0,74.6,73.06,-1.54,70.46,-4.14,0.2793916509829711,0.0358
PUT,0.7063655030800822,5325.0,76.6,74.96,-1.64,72.42,-4.18,0.27800899900684434,0.0358
PUT,0.7063655030800822,5350.0,78.3,76.91,-1.39,74.43,-3.87,0.2762715433842596,0.0358
CALL,0.7063655030800822,8000.0,51.6,51.54,-0.06,53.14,1.54,0.13070516360959863,0.0358
CALL,0.7063655030800822,8200.0,30.2,29.48,-0.72,29.31,-0.89,0.1281400601679458,0.0358
CALL,0.7063655030800822,8300.0,22.9,22.3,-0.6,21.64,-1.26,0.1272404343997126,0.0358
CALL,0.7063655030800822,8400.0,17.3,16.92,-0.38,15.96,-1.34,0.12657679318899112,0.0358
